"mlbid","name","position","full_name","nickname","dob"
121563,"Lefty Russell","P","Clarence Dickson Russell ",NA,"7/8/1890 in Baltimore, MD "
121562,"Allan Russell","P","Allan E. Russell ","Rubberarm","7/31/1893 in Baltimore, MD "
121561,"John Russ","P","John Russ ",NA,"4/1/1858 in Cannelton, IN "
121560,"Scott Ruskin","P","Scott Drew Ruskin ",NA,"6/8/1963 in Jacksonville, FL "
121559,"Amos Rusie","P","Amos Wilson Rusie ","The Hoosier Thunderbolt","5/30/1871 in Mooresville, IN "
121555,"Pete Runnels","2B","James Edward Runnels ",NA,"1/28/1928 in Lufkin, TX "
120515,"Red Phillips","P","Clarence Lemuel Phillips ",NA,"11/3/1908 in Pauls Valley, OK "
120514,"J.R. Phillips","1B","Charles Gene Phillips ",NA,"4/29/1970 in West Covina, CA "
121632,"Ed Sales","SS","Edward A. Sales ",NA,"1/1/1861 in Harrisburg, PA "
136770,"J.D. Drew","RF","David Jonathan Drew ",NA,"11/20/1975 in Valdosta, GA "
110959,"Jeff Bettendorf","P","Jeffrey Allen Bettendorf ",NA,"12/10/1960 in Lompoc, CA "
123248,"George Thomas","RF","George Edward Thomas ",NA,"11/29/1937 in Minneapolis, MN "
120504,"Dick Phelan","2B","James Dickson Phelan ",NA,"12/10/1854 in Towanda, PA "
121539,"Matt Ruebel","P","Matthew Alexander Ruebel ",NA,"10/16/1969 in Cincinnati, OH "
121533,"Joe Rudi","OF","Joseph Oden Rudi ",NA,"9/7/1946 in Modesto, CA "
121531,"Johnny Rucker","OF","John Joel Rucker ",NA,"1/15/1917 in Crabapple, GA "
120543,"Eddie Pick","3B","Edgar Everett Pick ",NA,"5/7/1899 in Attleboro, MA "
121529,"Dave Rucker","P","David Michael Rucker ",NA,"9/1/1957 in San Bernardino, CA "
121583,"Mark Ryal","OF","Mark Dwayne Ryal ",NA,"4/28/1960 in Henryetta, OK "
120542,"Charlie Pick","2B","Charles Thomas Pick ",NA,"4/10/1888 in Brookneal, VA "
121528,"Art Ruble","OF","William Arthur Ruble ","Speedy","3/11/1903 in Knoxville, TN "
121582,"Mickey Rutner","3B","Milton Rutner ",NA,"3/18/1920 in Hempstead, NY "
121516,"Jean-Pierre Roy","P","Jean-Pierre Roy ",NA,"6/26/1920 in Montreal, QC, Canada "
121515,"Emil Roy","P","Emil Arthur Roy ",NA,"5/26/1907 in Brighton, MA "
121514,"Charlie Roy","P","Charles Robert Roy ",NA,"6/22/1884 in Beaulieu, MN "
121511,"Mike Rowland","P","Michael Evan Rowland ",NA,"1/31/1953 in Chicago, IL "
121510,"Chuck Rowland","C","Charlie Leland Rowland ",NA,"7/23/1899 in Warrenton, NC "
121507,"Schoolboy Rowe","P","Lynwood Thomas Rowe ",NA,"1/11/1910 in Waco, TX "
121506,"Ken Rowe","P","Kenneth Darrell Rowe ",NA,"12/31/1933 in Ferndale, MI "
121504,"Harland Rowe","3B","Harland Stimson Rowe ","Hypie","4/20/1896 in Springvale, ME "
121503,"Don Rowe","P","Donald Howard Rowe ",NA,"4/3/1936 in Brawley, CA "
121498,"Phil Routcliffe","OF","Philip John Routcliffe ","Chicken","10/24/1870 in Oswego, NY "
121494,"Jack Rothrock","OF","John Huston Rothrock ",NA,"3/14/1905 in Long Beach, CA "
121491,"Bobby Rothermel","2B","Edward Hill Rothermel ",NA,"12/18/1870 in Fleetwood, PA "
121490,"Bob Rothel","3B","Robert Burton Rothel ",NA,"9/17/1923 in Columbia Station, OH "
120424,"John Perkovich","P","John Joseph Perkovich ","Perky","3/10/1924 in Chicago, IL "
121489,"Braggo Roth","OF","Robert Frank Roth ",NA,"8/28/1892 in Burlington, WI "
121488,"Frank Roth","C","Francis Charles Roth ",NA,"10/11/1878 in Chicago, IL "
121487,"Marv Rotblatt","P","Marvin Rotblatt ","Rotty","10/18/1927 in Chicago, IL "
121483,"Joe Rossi","C","Joseph Anthony Rossi ",NA,"3/13/1921 in Oakland, CA "
121482,"Joe Rosselli","P","Joseph Donald Rosselli ",NA,"5/28/1972 in Burbank, CA "
121481,"Mark Ross","P","Mark Joseph Ross ",NA,"8/8/1957 in Galveston, TX "
121480,"Buck Ross","P","Lee Ravon Ross ",NA,"2/2/1915 in Norwood, NC "
121478,"Gary Ross","P","Gary Douglas Ross ",NA,"9/16/1947 in McKeesport, PA "
121474,"Cliff Ross","P","Clifford Davis Ross ",NA,"8/3/1928 in Philadelphia, PA "
121469,"Wayne Rosenthal","P","Wayne Scott Rosenthal ",NA,"2/19/1965 in Brooklyn, NY "
120438,"Gaylord Perry","P","Gaylord Jackson Perry ",NA,"9/15/1938 in Williamston, NC "
121522,"Dick Rozek","P","Richard Louis Rozek ",NA,"3/27/1927 in Cedar Rapids, IA "
121466,"Max Rosenfeld","OF","Max Rosenfeld ",NA,"12/23/1902 in New York, NY "
121520,"Jerry Royster","3B","Jeron Kennis Royster ",NA,"10/18/1952 in Sacramento, CA "
121492,"Jack Rothfuss","1B","John Albert Rothfuss ",NA,"4/18/1872 in Newark, NJ "
121519,"Stan Royer","3B","Stanley Dean Royer ",NA,"8/31/1967 in Olney, IL "
121463,"Harry Rosenberg","OF","Harry Rosenberg ",NA,"6/22/1909 in San Francisco, CA "
121849,"Karl Schnell","P","Karl Otto Schnell ",NA,"9/20/1899 in Los Angeles, CA "
137204,"Jack Snyder","C","John William Snyder ",NA,"10/6/1886 in Lincoln, PA "
121848,"Pete Schneider","P","Peter Joseph Schneider ",NA,"8/20/1895 in Los Angeles, CA "
137202,"Ed Smith","P","Ed Smith ",NA,""
121817,"Admiral Schlei","C","George Henry Schlei ",NA,"1/12/1878 in Cincinnati, OH "
137140,"Russell Branyan","1B","Russell Oles Branyan ",NA,"12/19/1975 in Warner Robins, GA "
121748,"Ray Scarborough","P","Ray Wilson Scarborough ",NA,"7/23/1917 in Mt.Gilead, NC "
137002,"Gabe Kapler","CF","Gabriel Stefan Kapler ",NA,"7/31/1975 in Hollywood, CA "
121707,"Frank Saucier","OF","Francis Field Saucier ",NA,"5/28/1926 in Leslie, MO "
136920,"Brian Sikorski","P","Brian Patrick Sikorski ",NA,"7/27/1974 in Detroit, MI "
121687,"Ed Sanicki","OF","Edward Robert Sanicki ","Butch","7/7/1923 in Wallington, NJ "
136880,"Roy Halladay","P","Harry Leroy Halladay ","Doc","5/14/1977 in Denver, CO "
121545,"Bruce Ruffin","P","Bruce Wayne Ruffin ",NA,"10/4/1963 in Lubbock, TX "
121599,"Rosy Ryan","P","Wilfred Patrick Ryan ",NA,"3/15/1898 in Worcester, MA "
121612,"Jim Sadowski","P","James Michael Sadowski ",NA,"8/7/1951 in Pittsburgh, PA "
136730,"Calvin Pickering","1B","Calvin Elroy Pickering ",NA,"9/29/1976 in St. Thomas, U.S. Virgin Islands "
120572,"Tony Piet","2B","Anthony Francis Piet ",NA,"12/7/1906 in Berwick, PA "
121527,"Jorge Rubio","P","Jorge Jesus Rubio ",NA,"4/23/1945 in Mexicali, Mexico "
121526,"Sonny Ruberto","C","John Edward Ruberto ",NA,"1/2/1946 in Staten Island, NY "
121495,"Larry Rothschild","P","Lawrence Lee Rothschild ",NA,"3/12/1954 in Chicago, IL "
121565,"Rip Russell","1B","Glen David Russell ",NA,"1/26/1915 in Los Angeles, CA "
121455,"Bobby Rose","2B","Robert Richard Rose ",NA,"3/15/1967 in Covina, CA "
136608,"Armando Rios","RF","Armando Rios ",NA,"9/13/1971 in Santurce, Puerto Rico "
121551,"Joe Rullo","2B","Joseph Vincent Rullo ",NA,"6/16/1916 in New York, NY "
121509,"Ed Rowen","C","W. Edward Rowen ",NA,"10/22/1857 in Bridgeport, CT "
136582,"Hector Ortiz","C","Hector Ortiz ",NA,"10/14/1969 in Rio Piedras, Puerto Rico "
121538,"Dick Rudolph","P","Richard Rudolph ","Baldy","8/25/1887 in New York, NY "
121525,"Al Rubeling","3B","Albert William Rubeling ",NA,"5/10/1913 in Baltimore, MD "
121454,"Pete Rose","1B","Peter Edward Rose Sr. ","Charlie Hustle","4/14/1941 in Cincinnati, OH "
121484,"Claude Rossman","1B","Claude R. Rossman ",NA,"6/17/1881 in Philmont, NY "
121468,"Si Rosenthal","OF","Simon Rosenthal ",NA,"11/13/1903 in Boston, MA "
120398,"Harrison Peppers","P","Harrison Peppers ",NA,"9/1/1866 "
121375,"Oscar Roettger","1B","Oscar Frederick Roettger ","Okkie","2/19/1900 in St.Louis, MO "
121429,"John Romonosky","P","John Romonosky ",NA,"7/7/1929 in Harrisburg, IL "
120384,"Brad Pennington","P","Brad Lee Pennington ",NA,"4/14/1969 in Salem, IN "
121374,"Mike Roesler","P","Michael Joseph Roesler ",NA,"9/12/1963 in Fort Wayne, IN "
116160,"Oscar Horstmann","P","Oscar Theodore Horstmann ",NA,"6/2/1891 in Alma, MO "
119164,"Cotton Minahan","P","Edmund Joseph Minahan ",NA,"12/10/1882 in Springfield, OH "
113013,"Abner Dalrymple","LF","Abner Frank Dalrymple ",NA,"9/9/1857 in Gratiot, WI "
121133,"Dennis Ribant","P","Dennis Joseph Ribant ",NA,"9/20/1941 in Detroit, MI "
121364,"Rosario Rodriguez","P","Rosario Isabel Rodriguez ",NA,"7/8/1969 in Los Mochis, Mexico "
121317,"Jack Robinson","P","John Edward Robinson ",NA,"2/20/1921 in Orange, NJ "
121316,"Jeff Robinson","P","Jeffrey Mark Robinson ",NA,"12/14/1961 in Ventura, CA "
121314,"Jackie Robinson","2B","Jack Roosevelt Robinson ",NA,"1/31/1919 in Cairo, GA "
121297,"Sherry Robertson","OF","Sherrard Alexander Robertson ",NA,"1/1/1919 in Montreal, PQ, Canada "
121056,"Ken Reitz","3B","Kenneth John Reitz ","The Zamboni","6/24/1951 in San Francisco, CA "
121055,"Heinie Reitz","2B","Henry P. Reitz ",NA,"6/29/1867 in Chicago, IL "
120448,"Bill Pertica","P","William Andrew Pertica ",NA,"3/5/1897 in Santa Barbara, CA "
121479,"George Ross","P","George Sidney Ross ",NA,"6/27/1892 in San Rafael, CA "
120434,"George Perring","3B","George Wilson Perring ",NA,"8/13/1884 in Sharon, WI "
121500,"Jack Rowan","P","John Albert Rowan ",NA,"6/16/1887 in New Castle, PA "
121473,"Chet Ross","OF","Chester James Ross ",NA,"4/1/1917 in Buffalo, NY "
121453,"Pete Rose","3B","Peter Edward Rose Jr. ",NA,"11/16/1969 in Cincinnati, OH "
120389,"Gene Pentz","P","Eugene David Pentz ",NA,"6/21/1953 in Johnstown, PA "
121420,"Tom Romano","OF","Thomas Michael Romano ",NA,"10/25/1958 in Syracuse, NY "
120388,"Paul Penson","P","Paul Eugene Penson ",NA,"7/12/1931 in Kansas City, KS "
121419,"Johnny Romano","C","John Anthony Romano ","Honey","8/23/1934 in Hoboken, NJ "
120358,"Steve Pegues","LF","Steven Antone Pegues ",NA,"5/21/1968 in Pontotoc, MS "
121389,"Packy Rogers","SS","Stanley Frank Rogers ",NA,"4/26/1913 in Swoyersville, PA "
121335,"Ben Rochefort","1B","Bennett Harold Rochefort ",NA,"8/15/1896 in Camden, NJ "
117249,"Bruce Konopka","1B","Bruno Bruce Konopka ",NA,"9/16/1919 in Hammond, IN "
121355,"Frankie Rodriguez","P","Francisco Rodriguez ",NA,"12/11/1972 in Brooklyn, NY "
120352,"Homer Peel","OF","Homer Hefner Peel ",NA,"10/10/1902 in Port Sullivan, TX "
121383,"Jim Rogers","1B","James F. Rogers ",NA,"4/9/1872 in Hartford, CT "
121329,"Sergio Robles","C","Sergio Robles ",NA,"4/16/1946 in Magdalena, Mexico "
120351,"Steve Peek","P","Stephen George Peek ",NA,"7/30/1914 in Springfield, MA "
121328,"Rafael Robles","SS","Rafael Orlando Robles ",NA,"10/20/1947 in San Pedro De Macoris, Dominican Republic "
120350,"Chick Pedroes","OF","Charles P. Pedroes ",NA,"10/27/1869 in Chicago, IL "
121327,"Chick Robitaille","P","Joseph Anthony Robitaille ",NA,"3/2/1879 in Whitehall, NY "
120349,"Al Pedrique","SS","Alfredo Jose Pedrique ",NA,"8/11/1960 in Valencia, Venezuela "
120348,"Jorge Pedre","C","Jorge Enrique Pedre ",NA,"10/12/1966 in Culver City, CA "
121325,"Yank Robinson","2B","William H. Robinson ",NA,"9/19/1859 in Philadelphia, PA "
121340,"Pat Rockett","SS","Patrick Edward Rockett ",NA,"1/9/1955 in San Antonio, TX "
121339,"Ike Rockenfield","2B","Isaac Broc Rockenfield ",NA,"11/3/1876 in Omaha, NE "
120299,"Pat Patterson","3B","William Jennings Bryan Patterson ",NA,"1/29/1901 in Belleville, IL "
121330,"Tom Robson","DH","Thomas James Robson ",NA,"1/15/1946 in Rochester, NY "
120258,"Tom Parsons","P","Thomas Anthony Parsons ",NA,"9/13/1939 in Lakeville, CT "
121289,"Don Robertson","OF","Donald Alexander Robertson ",NA,"10/15/1930 in Harvey, IL "
121235,"Wally Ritchie","P","Wallace Reid Ritchie ",NA,"7/12/1965 in Glendale, CA "
120244,"Jose Parra","P","Jose Miguel Parra ",NA,"11/28/1972 in Jacagua, Dominican Republic "
121250,"Mariano Rivera","P","Mariano Rivera ","Mo","11/29/1969 in Panama City, Panama "
121196,"Nikco Riesgo","OF","Damon Nikco Riesgo ",NA,"1/11/1967 in Long Beach, CA "
121195,"Elmer Rieger","P","Elmer Jay Rieger ",NA,"2/25/1889 in Perris, CA "
120218,"Mark Parent","C","Mark Alan Parent ",NA,"9/16/1961 in Ashland, OR "
121186,"Harry Riconda","3B","Henry Paul Riconda ",NA,"3/17/1897 in New York, NY "
119554,"Tony Murphy","C","Francis J. Murphy ",NA,"7/1/1859 in Brooklyn, NY "
121225,"Walt Ripley","P","Walter Franklin Ripley ",NA,"11/26/1916 in Worcester, MA "
121638,"Roger Salmon","P","Roger Elliott Salmon ",NA,"5/11/1891 in Newark, NJ "
121573,"Paul Russell","2B","Paul A. Russell ",NA,"1/1/1870 in Reading, PA "
121493,"Claude Rothgeb","OF","Claude James Rothgeb ",NA,"1/1/1880 in Milford, IL "
121223,"Billy Ripken","2B","William Oliver Ripken ",NA,"12/16/1964 in Havre De Grace, MD "
121258,"Joe Roa","P","Joseph Rodger Roa ",NA,"10/11/1971 in Southfield, MI "
121239,"Reggie Ritter","P","Reggie Blake Ritter ",NA,"1/23/1960 in Malvern, AR "
121185,"Art Rico","C","Arthur Raymond Rico ",NA,"7/23/1896 in Roxbury, MA "
121222,"Cal Ripken Jr.","SS","Calvin Edwin Ripken Jr. ","Iron Man","8/24/1960 in Havre De Grace, MD "
121175,"Reggie Richter","P","Emil Henry Richter ",NA,"9/14/1888 in Dusseldorf, Germany "
121214,"Andy Rincon","P","Andrew John Rincon ",NA,"3/5/1959 in Monterey Park, CA "
119161,"George Milstead","P","George Earl Milstead ","Cowboy","6/26/1903 in Cleburne, TX "
113010,"Tom Daley","LF","Thomas Francis Daley ","Pete","11/13/1884 in Du Bois, PA "
150307,"Jon Ratliff","P","Jon C. Ratliff ",NA,"12/22/1971 in Syracuse, NY "
122256,"Joe Simpson","OF","Joe Allen Simpson ",NA,"12/31/1951 in Purcell, OK "
120108,"Reggie Otero","1B","Regino Jose Otero ",NA,"9/7/1915 in Havana, Cuba "
121085,"Otto Rettig","P","Adolph John Rettig ",NA,"1/29/1894 in New York, NY "
121121,"Billy Rhiel","3B","William Joseph Rhiel ",NA,"8/16/1900 in Youngstown, OH "
120089,"Wayne Osborne","P","Wayne Harold Osborne ","Ossie","10/11/1912 in Watsonville, CA "
121066,"Laddie Renfroe","P","Cohen Williams Renfroe ",NA,"5/9/1962 in Natchez, MS "
120083,"Bob Osborn","P","John Bode Osborn ",NA,"4/17/1903 in San Diego, TX "
118050,"Harry Lyons","CF","Harry Pratt Lyons ",NA,"3/25/1866 in Chester, PA "
121102,"Carl Reynolds","OF","Carl Nettles Reynolds ",NA,"2/1/1903 in Larue, TX "
120088,"Bobo Osborne","1B","Lawrence Sidney Osborne ",NA,"10/12/1935 in Chattahoochee, GA "
121065,"Erwin Renfer","P","Erwin Arthur Renfer ",NA,"12/11/1891 in Elgin, IL "
120081,"Ossie Orwoll","P","Oswald Christian Orwoll ",NA,"11/17/1900 in Portland, OR "
121058,"Desi Relaford","SS","Desmond Lamont Relaford ",NA,"9/16/1973 in Valdosta, GA "
121086,"Ken Retzer","C","Kenneth Leo Retzer ",NA,"4/30/1934 in Wood River, IL "
112882,"Cap Crowell","P","Minot Joy Crowell ",NA,"9/5/1892 in Roxbury, MA "
119033,"John Middleton","P","John Wayne Middleton ","Lefty","4/11/1900 in Mt.Calm, TX "
150051,"Chris Petersen","2B","Christopher Ronald Petersen ",NA,"11/6/1970 in Boston, MA "
122128,"Bill Sherdel","P","William Henry Sherdel ","Wee Willie","8/15/1896 in McSherrystown, PA "
119041,"Pete Mikkelsen","P","Peter James Mikkelsen ",NA,"10/25/1939 in Staten Island, NY "
112890,"Cal Crum","P","Clarence Newton Crum ",NA,"7/27/1889 in Cooks Mills, IL "
150067,"Chris Truby","3B","Christopher John Truby ",NA,"12/9/1973 in Palm Springs, CA "
122136,"Vince Sherlock","2B","Vincent Thomas Sherlock ","Baldy","3/27/1910 in Buffalo, NY "
121094,"William Rexter","OF","William H. Rexter ",NA,"in Brooklyn, NY "
119948,"Jose Offerman","1B","Jose Antonio Offerman ",NA,"11/8/1968 in San Pedro de Macoris, Dominican Republic "
120979,"Johnny Reder","1B","John Anthony Reder ",NA,"9/24/1909 in Lublin, Poland "
119938,"John O'Donnell","C","John O'Donnell ",NA,"in Littlestown, PA "
120915,"Willie Ramsdell","P","James Willard Ramsdell ","The Knuck","4/4/1916 in Williamsburg, KS "
119924,"Jack O'Connor","P","Jack William O'Connor ",NA,"6/2/1958 in Twentynine Palms, CA "
116829,"Frank Kane","LF","Francis Thomas Kane ","Sugar","3/9/1895 in Whitman, MA "
113773,"Dave Eggler","CF","David Daniel Eggler ",NA,"4/30/1849 in Brooklyn, NY "
120935,"Vic Raschi","P","Victor John Raschi ",NA,"3/28/1919 in West Springfield, MA "
119928,"Hank O'Day","P","Henry Francis O'Day ",NA,"7/8/1862 in Chicago, IL "
120905,"Milt Ramirez","SS","Milton Ramirez ",NA,"4/2/1950 in Mayaguez, Puerto Rico "
119914,"Whitey Ock","C","Harold David Ock ",NA,"3/17/1912 in Brooklyn, NY "
118490,"Brent Mayne","C","Brent Danem Mayne ",NA,"4/19/1968 in Corona Del Mar, CA "
120523,"Marr Phillips","SS","Marr B. Phillips ",NA,"6/16/1857 in Pittsburgh, PA "
120980,"Buck Redfern","2B","George Howard Redfern ",NA,"4/7/1902 in Asheville, NC "
116819,"Charlie Kalbfus","OF","Charles Henry Kalbfus ","Skinny","12/28/1864 in Washington, DC "
113763,"Harry Eells","P","Harry Archibald Eells ","Slippery","2/14/1880 in Woodbury County, IA "
120925,"Bob Randall","2B","Robert Lee Randall ",NA,"6/10/1948 in Norton, KS "
120895,"Gary Rajsich","1B","Gary Louis Rajsich ",NA,"10/28/1954 in Youngstown, OH "
119864,"Les Nunamaker","C","Leslie Grant Nunamaker ",NA,"1/25/1889 in Aurora, NE "
120885,"Pat Ragan","P","Don Carlos Ragan ",NA,"11/15/1888 in Blanchard, IA "
119854,"Tom Norton","P","Thomas John Norton ",NA,"4/26/1950 in Elyria, OH "
119898,"Jack O'Brien","OF","John Joseph O'Brien ",NA,"2/5/1873 in Watervliet, NY "
119889,"Charlie O'Brien","C","Charles Hugh O'Brien ",NA,"5/1/1961 in Tulsa, OK "
119888,"Jim Obradovich","1B","James Thomas Obradovich ",NA,"9/13/1949 in Fort Campbell, KY "
119879,"Rebel Oakes","OF","Ennis Telfair Oakes ",NA,"12/17/1883 in Arizona, LA "
119878,"Nyls Nyman","OF","Nyls Wallace Nyman ",NA,"3/7/1954 in Detroit, MI "
119855,"Willie Norwood","OF","Willie Norwood ",NA,"11/7/1950 in Greene County, AL "
119848,"Scott Northey","OF","Scott Richard Northey ",NA,"10/15/1946 in Philadelphia, PA "
119846,"Hub Northen","CF","Hubbard Elwin Northen ",NA,"8/16/1886 in Atlanta, TX "
119845,"Bill North","CF","William Alex North ",NA,"5/15/1948 in Seattle, WA "
119844,"Lou North","P","Louis Alexander North ",NA,"6/15/1891 in Elgin, IL "
119834,"Irv Noren","OF","Irving Arnold Noren ",NA,"11/29/1924 in Jamestown, NY "
133200,"Brian Barkley","P","Brian Edward Barkley ",NA,"12/8/1975 in Conroe, TX "
119847,"Ron Northey","RF","Ronald James Northey ",NA,"4/26/1920 in Mahanoy City, PA "
119824,"Dick Nold","P","Richard Louis Nold ",NA,"5/4/1943 in San Francisco, CA "
119814,"Russ Nixon","C","Russell Eugene Nixon ",NA,"2/19/1935 in Cleves, OH "
119804,"Dave Nilsson","C","David Wayne Nilsson ",NA,"12/14/1969 in Brisbane, Australia "
119794,"Al Niemiec","2B","Alfred Joseph Niemiec ",NA,"5/18/1911 in Meriden, CT "
121847,"Jeff Schneider","P","Jeffrey Theodore Schneider ",NA,"12/6/1952 in Bremerton, WA "
137200,"Jim Donnelly","3B","James J. Donnelly ",NA,""
119724,"Otto Neu","SS","Otto Adam Neu ",NA,"9/24/1894 in Springfield, OH "
119715,"Gene Nelson","P","Wayland Eugene Nelson ",NA,"12/3/1960 in Tampa, FL "
119714,"Tommy Nelson","3B","Tom Cousineau Nelson ",NA,"5/1/1917 in Chicago, IL "
121767,"Gene Schall","1B","Eugene David Schall ",NA,"6/5/1970 in Abington, PA "
137040,"P.J. Forbes","2B","Patrick Joseph Forbes ",NA,"9/22/1967 in Pittsburg, KS "
119684,"Doug Neff","3B","Douglas Williams Neff ",NA,"10/8/1891 in Harrisonburg, VA "
121750,"Russ Scarritt","OF","Stephen Russell Scarritt ",NA,"1/14/1903 in Pensacola, FL "
137006,"Doug Mientkiewicz","1B","Douglas Andrew Mientkiewicz ",NA,"6/19/1974 in Toledo, OH "
119628,"Rod Myers","OF","Roderick Demond Myers ",NA,"1/14/1973 in Conroe, TX "
119627,"Richie Myers","PH","Richard Myers ",NA,"4/7/1930 in Sacramento, CA "
121680,"Charlie Sands","DH","Charles Duane Sands ",NA,"12/17/1947 in Newport News, VA "
136866,"Carlos Febles","2B","Carlos Manuel Febles ",NA,"5/24/1976 in El Seybo, Dominican Republic "
119564,"Leo Murphy","C","Leo Joseph Murphy ","Red","1/7/1889 in Terre Haute, IN "
110960,"Harry Betts","P","Harold Matthew Betts ","Chubby","6/19/1881 in Alliance, OH "
123249,"Herb Thomas","OF","Herbert Mark Thomas ",NA,"5/26/1902 in Sampson City, FL "
119548,"Danny Murphy","C","Daniel Joseph Murphy ","Handsome Dan","9/10/1864 in Brooklyn, NY "
136766,"Brian Daubach","1B","Brian Michael Daubach ",NA,"2/11/1972 in Belleville, IL "
121630,"Luis Salazar","3B","Luis Ernesto Salazar ",NA,"5/19/1956 in Barcelona, Venezuela "
121180,"Dick Ricketts","P","Richard James Ricketts ",NA,"12/4/1933 in Pottstown, PA "
121536,"Dutch Rudolph","RF","John Herman Rudolph ",NA,"7/10/1882 in Natrona, PA "
136604,"Mark Strittmatter","C","Mark Arthur Strittmatter ",NA,"4/4/1969 in Huntington, NY "
121549,"Chico Ruiz","2B","Hiraldo Ruiz ",NA,"12/5/1938 in Santo Domingo, Cuba "
121396,"Dave Rohde","2B","David Grant Rohde ",NA,"5/8/1964 in Los Altos, CA "
117290,"Jack Kramer","P","John Henry Kramer ",NA,"1/5/1918 in New Orleans, LA "
121356,"Hector Rodriguez","3B","Hector Antonio Rodriguez ",NA,"6/13/1920 in Alquizar, Cuba "
121346,"Eric Rodin","OF","Eric Chapman Rodin ",NA,"2/5/1930 in Orange, NJ "
121310,"Floyd Robinson","OF","Floyd Andrew Robinson ",NA,"5/9/1936 in Prescott, AR "
121336,"Lou Rochelli","2B","Louis Joseph Rochelli ",NA,"1/11/1919 in Staunton, IL "
121077,"Andy Replogle","P","Andrew David Replogle ",NA,"10/7/1953 in South Bend, IN "
112901,"Jacob Cruz","RF","Jacob Antonio Cruz ",NA,"1/28/1973 in Oxnard, CA "
150089,"Michel Hernandez","C","Michel Hernandez ",NA,"8/12/1978 in Havana, Cuba "
122147,"Jimmy Shevlin","1B","James Cornelius Shevlin ",NA,"7/9/1909 in Cincinnati, OH "
119052,"Dee Miles","OF","Wilson Daniel Miles ",NA,"2/15/1909 in Kellerman, AL "
119060,"Charlie Miller","SS","Charles Elmer Miller ",NA,"1/4/1892 in Warrensburg, MO "
