"yahooid","name","position","full_name","nickname","dob"
9902,"Raisel Iglesias","SP",NA,NA,"1990-01-04"
9900,"Yoan Moncada","2B",NA,NA,"1995-05-27"
9899,"Oscar Hernandez","C",NA,NA,"1993-07-09"
9898,"Mark Canha","1B",NA,NA,"1989-02-15"
9895,"Mikie Mahtook","RF",NA,NA,"1989-11-30"
9891,"Adalberto Mejía","RP",NA,NA,"1993-06-20"
9888,"Taylor Lindsey","2B",NA,NA,"1991-12-02"
9884,"Jung-ho Kang","3B",NA,NA,"1987-04-05"
9883,"Josh Bell","RF",NA,NA,"1992-08-14"
9882,"Aaron Nola","SP",NA,NA,"1993-06-04"
9879,"Luis Severino","SP",NA,NA,"1994-02-20"
9878,"Jacob Lindgren","RP",NA,NA,"1993-03-12"
9876,"Brandon Nimmo","CF",NA,NA,"1993-03-27"
9875,"Michael Conforto","LF",NA,NA,"1993-03-01"
9871,"Orlando Arcia","SS",NA,NA,"1994-08-04"
9867,"Jorge Bonifacio","RF",NA,NA,"1993-06-04"
9864,"Raimel Tapia","LF",NA,NA,"1994-02-04"
9861,"Kyle Schwarber","LF",NA,NA,"1993-03-05"
9859,"Henry Owens","SP",NA,NA,"1992-07-21"
9858,"Manuel Margot","CF",NA,NA,"1994-09-28"
9857,"José Peraza","2B",NA,NA,"1994-04-30"
9853,"Brandon Drury","3B",NA,NA,"1992-08-21"
9851,"Rob Refsnyder","2B",NA,NA,"1991-03-26"
9850,"Yasmany Tomás","RF",NA,NA,"1990-11-14"
9849,"Eddie Gamboa","SP",NA,NA,"1984-12-21"
9848,"Angel Nesbitt","RP",NA,NA,"1990-12-04"
9847,"Aaron Northcraft","RP",NA,NA,"1990-05-28"
9846,"Christian Walker","1B",NA,NA,"1991-03-28"
9845,"Bryce Brentz","LF",NA,NA,"1988-12-30"
9844,"Daniel Coulombe","RP",NA,NA,"1989-10-26"
9843,"José Pirela","2B",NA,NA,"1989-11-21"
9842,"Tommy Pham","CF",NA,NA,"1988-03-08"
9841,"Jairo Díaz","RP",NA,NA,"1991-05-27"
9840,"Guilder Rodríguez","2B",NA,NA,"1983-07-24"
9839,"Sam Tuivailala","RP",NA,NA,"1992-10-19"
9838,"Xavier Scruggs","1B",NA,NA,"1987-09-23"
9837,"R.J. Álvarez","RP",NA,NA,"1991-06-08"
9836,"John Holdzkom","RP",NA,NA,"1987-10-19"
9835,"Erik Cordier","RP",NA,NA,"1986-02-25"
9834,"Brett Bochy","RP",NA,NA,"1987-08-27"
9833,"Chris Heston","SP",NA,NA,"1988-04-10"
9832,"Matt Clark","1B",NA,NA,"1986-12-10"
9831,"Jason Rogers","1B",NA,NA,"1988-03-13"
9830,"Eric Jokisch","RP",NA,NA,"1989-07-29"
9828,"Slade Heathcott","CF",NA,NA,"1990-09-28"
9827,"Nick Tropeano","SP",NA,NA,"1990-08-27"
9826,"Spencer Patton","RP",NA,NA,"1988-02-20"
9825,"Lisalverto Bonilla","RP",NA,NA,"1990-06-18"
9824,"A.J. Achter","RP",NA,NA,"1988-08-27"
9823,"Carlos Rodon","SP",NA,NA,"1992-12-10"
9822,"Dalton Pompey","CF",NA,NA,"1992-12-11"
9821,"Kendall Graveman","SP",NA,NA,"1990-12-21"
9820,"Ryan Dennick","RP",NA,NA,"1987-01-10"
9819,"Yorman Rodríguez","RF",NA,NA,"1992-08-15"
9818,"James McCann","C",NA,NA,"1990-06-13"
9817,"Darío Álvarez","RP",NA,NA,"1989-01-17"
9816,"Steven Moyà","RF",NA,NA,"1991-08-09"
9815,"Yimi García","RP",NA,NA,"1990-08-18"
9814,"Shawn O'Malley","SS",NA,NA,"1987-12-28"
9813,"Leonel Campos","RP",NA,NA,"1987-07-17"
9812,"Rafael Ynoa","LF",NA,NA,"1987-08-07"
9811,"Chris Domínguez","LF",NA,NA,"1986-11-22"
9810,"Carson Smith","RP",NA,NA,"1989-10-19"
9809,"Hunter Strickland","RP",NA,NA,"1988-09-24"
9808,"Bryan Price","RP",NA,NA,"1986-11-13"
9807,"Erik Goeddel","RP",NA,NA,"1988-12-20"
9806,"Lane Adams","CF",NA,NA,"1989-11-13"
9805,"Brandon Finnegan","RP",NA,NA,"1993-04-14"
9804,"Terrance Gore","LF",NA,NA,"1991-06-08"
9803,"Scott Snodgress","RP",NA,NA,"1989-09-20"
9802,"Andy Wilkins","1B",NA,NA,"1988-09-13"
9800,"Dilson Herrera","2B",NA,NA,"1994-03-03"
9799,"Chris Bassitt","SP",NA,NA,"1989-02-22"
9798,"Kyle Ryan","SP",NA,NA,"1991-09-25"
9797,"Tomás Telís","C",NA,NA,"1991-06-18"
9796,"Carlos Rivero","3B",NA,NA,"1988-05-20"
9795,"Rusney Castillo","RF",NA,NA,"1987-07-09"
9794,"Kyle Lobstein","SP",NA,NA,"1989-08-12"
9793,"Daniel Corcino","RP",NA,NA,"1990-08-26"
9792,"Frank Garcés","RP",NA,NA,"1990-01-17"
9791,"Matt Szczur","LF",NA,NA,"1989-07-20"
9790,"Jon Edwards","RP",NA,NA,"1988-01-08"
9789,"Melvin Mercedes","RP",NA,NA,"1990-11-02"
9788,"Bradin Hagens","RP",NA,NA,"1989-05-12"
9787,"Álex Cláudio","RP",NA,NA,"1992-01-31"
9786,"Buck Farmer","SP",NA,NA,"1991-02-20"
9785,"Caleb Clay","RP",NA,NA,"1988-02-15"
9784,"Michael A. Taylor","CF",NA,NA,"1991-03-26"
9783,"Trevor May","SP",NA,NA,"1989-09-23"
9782,"Andrew Chafin","RP",NA,NA,"1990-06-17"
9781,"Jake Lamb","3B",NA,NA,"1990-10-09"
9780,"Carlos Frías","SP",NA,NA,"1989-11-13"
9779,"Héctor Neris","RP",NA,NA,"1989-06-14"
9778,"Daniel Butler","C",NA,NA,"1986-10-17"
9776,"Jarrett Parker","RF",NA,NA,"1989-01-01"
9775,"Matt Duffy","3B",NA,NA,"1991-01-15"
9774,"Cristhian Adames","SS",NA,NA,"1991-07-26"
9773,"Billy Burns","CF",NA,NA,"1989-08-30"
9772,"Matt Purke","RP",NA,NA,"1990-07-17"
9771,"Chris Taylor","SS",NA,NA,"1990-08-29"
9770,"Ben Paulsen","1B",NA,NA,"1987-10-27"
9769,"Taylor Thompson","RP",NA,NA,"1987-06-18"
9768,"Chasen Shreve","RP",NA,NA,"1990-07-12"
9767,"Drew VerHagen","RP",NA,NA,"1990-10-22"
9766,"Curt Casali","C",NA,NA,"1988-11-09"
9764,"Austin Adams","RP",NA,NA,"1986-08-19"
9763,"Drew Rucinski","RP",NA,NA,"1988-12-30"
9762,"Christian Vázquez","C",NA,NA,"1990-08-21"
9761,"Roberto Pérez","C",NA,NA,"1988-12-23"
9760,"Jake Smolinski","LF",NA,NA,"1989-02-09"
9759,"Román Méndez","RP",NA,NA,"1990-07-25"
9758,"Kyle Hendricks","SP",NA,NA,"1989-12-07"
9757,"Brooks Brown","RP",NA,NA,"1985-06-20"
9756,"Tyler Holt","CF",NA,NA,"1989-03-10"
9755,"Zelous Wheeler","3B",NA,NA,"1987-01-16"
9754,"Kiké Hernández","2B",NA,NA,"1991-08-24"
9753,"Domingo Santana","RF",NA,NA,"1992-08-05"
9752,"Christian Colón","SS",NA,NA,"1989-05-14"
9751,"Nick Ahmed","SS",NA,NA,"1990-03-15"
9750,"Jorge Polanco","SS",NA,NA,"1993-07-05"
9749,"Dallas Beeler","SP",NA,NA,"1989-06-12"
9748,"Brad Glenn","RF",NA,NA,"1987-04-02"
9747,"Adam Duvall","LF",NA,NA,"1988-09-04"
9746,"Taylor Hill","RP",NA,NA,"1989-03-12"
9744,"Jackson Williams","C",NA,NA,"1986-05-14"
9743,"Patrick McCoy","RP",NA,NA,"1988-08-03"
9742,"Joe Panik","2B",NA,NA,"1990-10-30"
9741,"Carlos Contreras","RP",NA,NA,"1991-01-08"
9740,"Jake Buchanan","RP",NA,NA,"1989-09-24"
9739,"Jumbo Diaz","RP",NA,NA,"1984-02-27"
9738,"Juan Jaime","RP",NA,NA,"1987-08-02"
9737,"Matt Stites","RP",NA,NA,"1990-05-28"
9736,"Chad Smith","RP",NA,NA,"1989-10-02"
9735,"Yohan Pino","RP",NA,NA,"1983-12-26"
9734,"Aaron Altherr","LF",NA,NA,"1991-01-14"
9733,"Nick Greenwood","RP",NA,NA,"1987-09-28"
9732,"Blaine Hardy","RP",NA,NA,"1987-03-14"
9731,"Ben Rowen","RP",NA,NA,"1988-11-15"
9730,"Tyler Matzek","SP",NA,NA,"1990-10-19"
9729,"Ken Giles","RP",NA,NA,"1990-09-20"
9728,"Christian Bergman","RP",NA,NA,"1988-05-04"
9727,"Kirby Yates","RP",NA,NA,"1987-03-25"
9726,"Miguel Rojas","SS",NA,NA,"1989-02-24"
9724,"Eugenio Suárez","SS",NA,NA,"1991-07-18"
9723,"Justin Bour","1B",NA,NA,"1988-05-28"
9722,"Cam Bedrosian","RP",NA,NA,"1991-10-02"
9721,"Jesse Hahn","SP",NA,NA,"1989-07-30"
9720,"Wilking Rodríguez","RP",NA,NA,"1990-03-02"
9719,"David Peralta","LF",NA,NA,"1987-08-14"
9718,"J.T. Realmuto","C",NA,NA,"1991-03-18"
9717,"Jarrett Grube","RP",NA,NA,"1981-11-05"
9716,"Shae Simmons","RP",NA,NA,"1990-09-03"
9715,"Alex Hassan","RF",NA,NA,"1988-04-01"
9714,"Jamie Romak","LF",NA,NA,"1985-09-30"
9713,"Odrisamer Despaigne","SP",NA,NA,"1987-04-04"
9712,"Corey Knebel","RP",NA,NA,"1991-11-26"
9711,"David Buchanan","SP",NA,NA,"1989-05-11"
9710,"Erisbel Arruebarrena","SS",NA,NA,"1990-03-25"
9709,"Francisco Peña","C",NA,NA,"1989-10-12"
9708,"Rob Rasmussen","RP",NA,NA,"1989-04-02"
9707,"José Ramírez","RP",NA,NA,"1990-01-21"
9706,"Kyle Crockett","RP",NA,NA,"1991-12-15"
9705,"Cole Figueroa","3B",NA,NA,"1987-06-30"
9704,"Jesús Aguilar","1B",NA,NA,"1990-06-30"
9703,"Anthony DeSclafani","SP",NA,NA,"1990-04-18"
9702,"Chase Whitley","SP",NA,NA,"1989-06-14"
9701,"Jacob deGrom","SP",NA,NA,"1988-06-19"
9700,"Eric Campbell","3B",NA,NA,"1987-04-09"
9699,"Caleb Joseph","C",NA,NA,"1986-06-18"
9698,"Chase Anderson","SP",NA,NA,"1987-11-30"
9697,"Evan Marshall","RP",NA,NA,"1990-04-18"
9696,"Arnold León","RP",NA,NA,"1988-09-06"
9695,"Pedro Báez","RP",NA,NA,"1988-03-11"
9694,"Frank De Los Santos","RP",NA,NA,"1987-11-17"
9692,"Logan Darnell","RP",NA,NA,"1989-02-02"
9691,"Robbie Ray","SP",NA,NA,"1991-10-01"
9690,"Red Patterson","SP",NA,NA,"1987-05-11"
9689,"Randal Grichuk","LF",NA,NA,"1991-08-13"
9688,"Greg García","SS",NA,NA,"1989-08-08"
9687,"Mike Morin","RP",NA,NA,"1991-05-03"
9686,"Casey Sadler","RP",NA,NA,"1990-07-13"
9685,"Scott Carroll","RP",NA,NA,"1984-09-24"
9684,"Chris Martín","RP",NA,NA,"1986-06-02"
9683,"Kevin Quackenbush","RP",NA,NA,"1988-11-28"
9682,"Neil Ramírez","RP",NA,NA,"1989-05-25"
9681,"Daniel Robertson","LF",NA,NA,"1985-09-30"
9680,"Bryan Mitchell","RP",NA,NA,"1991-04-19"
9679,"Luis Sardiñas","SS",NA,NA,"1993-05-16"
9678,"C.J. Riefenhauser","RP",NA,NA,"1990-01-30"
9677,"Justin Marks","RP",NA,NA,"1988-01-12"
9676,"Jorge Rondón","RP",NA,NA,"1988-02-16"
9675,"Eric Fornataro","RP",NA,NA,"1988-01-02"
9674,"James Jones","CF",NA,NA,"1988-09-24"
9673,"Mike Bolsinger","SP",NA,NA,"1988-01-29"
9672,"Blake Treinen","RP",NA,NA,"1988-06-30"
9671,"Steven Souza Jr.","RF",NA,NA,"1989-04-24"
9670,"Shane Greene","SP",NA,NA,"1988-11-17"
9669,"Michael Mariot","RP",NA,NA,"1988-10-20"
9668,"Aaron Brooks","RP",NA,NA,"1990-04-27"
9667,"Marcus Walden","RP",NA,NA,"1988-09-13"
9666,"Dominic Leone","RP",NA,NA,"1991-10-26"
9665,"Vince Belnome","2B",NA,NA,"1988-03-11"
9664,"Tucker Barnhart","C",NA,NA,"1991-01-07"
9663,"Asher Wojciechowski","SP",NA,NA,"1988-12-21"
9662,"Donn Roach","RP",NA,NA,"1989-12-14"
9660,"Gus Schlosser","RP",NA,NA,"1988-10-20"
9659,"Brian Morán","RP",NA,NA,"1988-09-30"
9658,"Michael Almánzar","3B",NA,NA,"1990-12-02"
9657,"Yangervis Solarte","3B",NA,NA,"1987-07-07"
9656,"Ryan Buchter","RP",NA,NA,"1987-02-13"
9655,"Mario Hollands","RP",NA,NA,"1988-08-26"
9654,"Dean Anna","SS",NA,NA,"1986-11-24"
9653,"Tommy Kahnle","RP",NA,NA,"1989-08-07"
9652,"Roenis Elías","SP",NA,NA,"1988-08-01"
9651,"Nick Martínez","SP",NA,NA,"1990-08-05"
9650,"Aaron Barrett","RP",NA,NA,"1988-01-02"
9649,"Tyler Collins","LF",NA,NA,"1990-06-06"
9648,"Wei-Chung Wang","RP",NA,NA,"1992-04-25"
9647,"Adrián Nieto","C",NA,NA,"1989-11-12"
9646,"Bo Schultz","RP",NA,NA,"1985-09-25"
9645,"Seth Rosin","RP",NA,NA,"1988-11-02"
9644,"Stefen Romero","RF",NA,NA,"1988-10-17"
9643,"Suk-min Yoon","SP",NA,NA,"1986-07-24"
9642,"Masahiro Tanaka","SP",NA,NA,"1988-11-01"
9640,"Lucas Giolito","SP",NA,NA,"1994-07-14"
9639,"Brian Goodwin","CF",NA,NA,"1990-11-02"
9638,"A.J. Cole","RP",NA,NA,"1992-01-05"
9636,"Daniel Norris","SP",NA,NA,"1993-04-25"
9635,"Aarón Sánchez","SP",NA,NA,"1992-07-01"
9634,"Rougned Odor","2B",NA,NA,"1994-02-03"
9633,"Nick Williams","LF",NA,NA,"1993-09-08"
9632,"Luke Jackson","RP",NA,NA,"1991-08-24"
9631,"Jorge Alfaro","C",NA,NA,"1993-06-11"
9630,"Joey Gallo","3B",NA,NA,"1993-11-19"
9628,"Stephen Piscotty","LF",NA,NA,"1991-01-14"
9627,"Marco Gonzales","SP",NA,NA,"1992-02-16"
9624,"Clayton Blackburn","SP",NA,NA,"1993-01-06"
9623,"Ji-Man Choi","1B",NA,NA,"1991-05-19"
9622,"D.J. Peterson","3B",NA,NA,"1991-12-31"
9620,"Max Fried","SP",NA,NA,"1994-01-18"
9619,"Matt Wisler","SP",NA,NA,"1992-09-12"
9618,"Jace Peterson","2B",NA,NA,"1990-05-09"
9617,"Alex Dickerson","RF",NA,NA,"1990-05-26"
9616,"Tyler Glasnow","SP",NA,NA,"1993-08-23"
9615,"Reese McGuire","C",NA,NA,"1995-03-02"
9614,"Nick Kingham","SP",NA,NA,"1991-11-08"
9613,"Grégory Polanco","RF",NA,NA,"1991-09-14"
9612,"Austin Meadows","CF",NA,NA,"1995-05-03"
9611,"Alen Hanson","SS",NA,NA,"1992-10-22"
9610,"J.P. Crawford","SS",NA,NA,"1995-01-11"
9609,"Maikel Franco","3B",NA,NA,"1992-08-26"
9608,"Jesse Biddle","SP",NA,NA,"1991-10-22"
9607,"Miles Head","3B",NA,NA,"1991-05-02"
9606,"Max Muncy","1B",NA,NA,"1990-08-25"
9604,"Addison Russell","2B",NA,NA,"1994-01-23"
9603,"Tyler Austin","RF",NA,NA,"1991-09-06"
9602,"Rafael De Paula","SP",NA,NA,"1991-03-24"
9600,"Greg Bird","1B",NA,NA,"1992-11-09"
9599,"Steven Matz","SP",NA,NA,"1991-05-29"
9598,"Rafael Montero","RP",NA,NA,"1990-10-17"
9597,"Noah Syndergaard","SP",NA,NA,"1992-08-29"
9596,"Kevin Plawecki","C",NA,NA,"1991-02-26"
9595,"Dominic Smith","1B",NA,NA,"1995-06-15"
9594,"César Puello","RF",NA,NA,"1991-04-01"
9593,"Kohl Stewart","SP",NA,NA,"1994-10-07"
9592,"Kennys Vargas","1B",NA,NA,"1990-08-01"
9591,"Eddie Rosario","LF",NA,NA,"1991-09-28"
9590,"Byron Buxton","CF",NA,NA,"1993-12-18"
9589,"Jed Bradley","SP",NA,NA,"1990-06-12"
9588,"Justin Nicolino","SP",NA,NA,"1991-11-22"
9587,"Colin Moran","3B",NA,NA,"1992-10-01"
9586,"Andrew Heaney","SP",NA,NA,"1991-06-05"
9584,"Corey Seager","SS",NA,NA,"1994-04-27"
9583,"C.J. Cron","1B",NA,NA,"1990-01-05"
9582,"Sean Manaea","SP",NA,NA,"1992-02-01"
9581,"Raúl Mondesí","SS",NA,NA,"1995-07-27"
9580,"Miguel Almonte","RP",NA,NA,"1993-04-04"
9579,"Hunter Dozier","3B",NA,NA,"1991-08-22"
9578,"Rio Ruiz","3B",NA,NA,"1994-05-22"
9576,"Mark Appel","SP",NA,NA,"1991-07-15"
9575,"Lance McCullers","SP",NA,NA,"1993-10-02"
9574,"Delino DeShields","CF",NA,NA,"1992-08-16"
9573,"Carlos Correa","SS",NA,NA,"1994-09-22"
9572,"Devon Travis","2B",NA,NA,"1991-02-21"
9571,"Trevor Story","SS",NA,NA,"1992-11-15"
9570,"Tom Murphy","C",NA,NA,"1991-04-03"
9568,"Kyle Parker","LF",NA,NA,"1989-09-30"
9567,"Jon Gray","SP",NA,NA,"1991-11-05"
9566,"Eddie Butler","SP",NA,NA,"1991-03-13"
9565,"David Dahl","CF",NA,NA,"1994-04-01"
9564,"Clint Frazier","CF",NA,NA,"1994-09-06"
9563,"Robert Stephenson","SP",NA,NA,"1993-02-24"
9562,"Phillip Ervin","CF",NA,NA,"1992-07-15"
9561,"Jesse Winker","LF",NA,NA,"1993-08-17"
9560,"Micah Johnson","2B",NA,NA,"1990-12-18"
9559,"Pierce Johnson","SP",NA,NA,"1991-05-10"
9558,"Kris Bryant","3B",NA,NA,"1992-01-04"
9557,"Javier Báez","2B",NA,NA,"1992-12-01"
9556,"Dan Vogelbach","1B",NA,NA,"1992-12-17"
9555,"Carl Edwards Jr.","RP",NA,NA,"1991-09-03"
9554,"Arismendy Alcántara","2B",NA,NA,"1991-10-29"
9552,"Mookie Betts","CF",NA,NA,"1992-10-07"
9551,"Jon Denney","C",NA,NA,"1994-09-28"
9550,"Garin Cecchini","3B",NA,NA,"1991-04-20"
9548,"Anthony Ranaudo","SP",NA,NA,"1989-09-09"
9547,"Hunter Harvey","SP",NA,NA,"1994-12-09"
9546,"Eduardo Rodríguez","SP",NA,NA,"1993-04-07"
9544,"Lucas Sims","SP",NA,NA,"1994-05-10"
9543,"J.R. Graham","RP",NA,NA,"1990-01-14"
9542,"Archie Bradley","SP",NA,NA,"1992-08-10"
9541,"Stryker Trahan","C",NA,NA,"1994-04-25"
9539,"Alex Guerrero","LF",NA,NA,"1986-12-20"
9538,"Kevin Kiermaier","CF",NA,NA,"1990-04-22"
9536,"Wilfredo Tovar","SS",NA,NA,"1991-08-11"
9535,"Chris Dwyer","RP",NA,NA,"1988-04-10"
9534,"Matt Shoemaker","SP",NA,NA,"1986-09-27"
9532,"Onelki García","RP",NA,NA,"1989-08-02"
9531,"Tommy Medica","1B",NA,NA,"1988-04-09"
9530,"Christian Bethancourt","C",NA,NA,"1991-09-02"
9528,"David Hale","SP",NA,NA,"1987-09-27"
9527,"Chang-Yong Lim","RP",NA,NA,"1976-06-04"
9526,"Chris Owings","2B",NA,NA,"1991-08-12"
9525,"Zach Walters","SS",NA,NA,"1989-09-05"
9524,"Audry Pérez","C",NA,NA,"1988-12-23"
9523,"Zac Rosscup","RP",NA,NA,"1988-06-09"
9522,"Johnny Monell","C",NA,NA,"1986-03-27"
9520,"Cameron Rupp","C",NA,NA,"1988-09-28"
9519,"Heath Hembree","RP",NA,NA,"1989-01-13"
9518,"Jimmy Nelson","SP",NA,NA,"1989-06-05"
9516,"Erik Johnson","SP",NA,NA,"1989-12-30"
9515,"Miguel Gonzalez","C",NA,NA,"1990-12-03"
9514,"Daniel Webb","RP",NA,NA,"1989-08-18"
9513,"Brian Flynn","SP",NA,NA,"1990-04-19"
9512,"Jim Adduci","LF",NA,NA,"1985-05-15"
9511,"Eric Beaulac","RP",NA,NA,"1986-11-13"
9510,"Michael Choice","RF",NA,NA,"1989-11-10"
9508,"Stolmy Pimentel","RP",NA,NA,"1990-02-01"
9507,"José Ramírez","SS",NA,NA,"1992-09-17"
9506,"Abraham Almonte","CF",NA,NA,"1989-06-27"
9505,"Josmil Pinto","C",NA,NA,"1989-03-31"
9504,"Matt den Dekker","LF",NA,NA,"1987-08-10"
9503,"David Holmberg","SP",NA,NA,"1991-07-19"
9502,"Reymond Fuentes","CF",NA,NA,"1991-02-12"
9501,"Cody Clark","C",NA,NA,"1981-09-14"
9500,"Nick Christiani","RP",NA,NA,"1987-07-17"
9499,"Ryan Goins","2B",NA,NA,"1988-02-13"
9498,"Matt West","RP",NA,NA,"1988-11-21"
9497,"David Martínez","RP",NA,NA,"1987-08-04"
9496,"Max Stassi","C",NA,NA,"1991-03-15"
9495,"Kris Johnson","SP",NA,NA,"1984-10-14"
9494,"Jake Petricka","RP",NA,NA,"1988-06-05"
9493,"Arquímedes Caminero","RP",NA,NA,"1987-06-16"
9492,"Phil Gosselin","2B",NA,NA,"1988-10-03"
9491,"Chris Robinson","C",NA,NA,"1984-05-12"
9490,"Kevin Pillar","CF",NA,NA,"1989-01-04"
9489,"Andrew Lambo","RF",NA,NA,"1988-08-11"
9488,"Buddy Boshers","RP",NA,NA,"1988-05-09"
9487,"Kevin Chapman","RP",NA,NA,"1988-02-19"
9486,"Charlie Leesman","SP",NA,NA,"1987-03-10"
9485,"Jorge De León","RP",NA,NA,"1987-08-15"
9484,"Tanner Roark","RP",NA,NA,"1986-10-05"
9483,"Wilmer Flores","SS",NA,NA,"1991-08-06"
9482,"Joey Butler","LF",NA,NA,"1986-03-12"
9481,"Logan Watkins","2B",NA,NA,"1989-08-29"
9480,"Andrew Albers","RP",NA,NA,"1985-10-06"
9479,"Tuffy Gosewisch","C",NA,NA,"1983-08-17"
9478,"Chad Bettis","SP",NA,NA,"1989-04-26"
9475,"Josh Zeid","RP",NA,NA,"1987-03-24"
9474,"Roger Kieschnick","LF",NA,NA,"1987-01-21"
9472,"Steven Ames","RP",NA,NA,"1988-03-15"
9471,"Rob Wooten","RP",NA,NA,"1985-07-21"
9470,"Steve Susdorf","LF",NA,NA,"1986-03-28"
9469,"Vic Black","RP",NA,NA,"1988-05-23"
9468,"Jonathan Villar","SS",NA,NA,"1991-05-02"
9467,"Brock Peterson","LF",NA,NA,"1983-11-20"
